id,url,headline,author,date
59,https://www.theverge.com/2023/3/27/23658352/ev-battery-deep-sea-mining,The race for more battery materials could cause ‘irreversible’ damage under the sea,Justine Calma,2023/03/27
60,https://www.theverge.com/2023/3/21/23649937/starlink-spacex-satellite-light-pollution-nature-astronomy,SpaceX’s Starlink and other satellite internet providers are making light pollution worse for astronomers,Justine Calma,2023/03/21
61,https://www.theverge.com/2023/3/24/23654831/tiktok-congressional-hearing-xenophobia-china,"That TikTok hearing was pretty messed up, right?",Alex Cranz,2023/03/24
62,https://www.theverge.com/2023/3/24/23654719/utah-social-media-bill-law-minors-age-verification-tiktok-instagram,Utah governor signs new laws requiring parental consent for under-18s to use social media,Jess Weatherbed,2023/03/24
63,https://www.theverge.com/2023/3/24/23654996/linus-tech-tips-channel-hack-session-token-elon-musk-crypto-scam,How hackers took over Linus Tech Tips,Jay Peters,2023/03/24
64,https://www.theverge.com/2023/3/24/23655462/epic-games-unreal-editor-fortnite-permaban-dmca,Trying to recreate Mario Kart in the Fortnite editor could get you banned,Jay Peters,2023/03/24
65,https://www.theverge.com/2023/3/26/23655517/successio-season-4-review,Succession’s final season doubles down on its core conceit — to a fault,Charles Pulliam-Moore,2023/03/26
66,https://www.theverge.com/23655396/dungeons-and-dragons-honor-among-thieves-review,Dungeons & Dragons: Honor Among Thieves is great — you just have to roll with it,Jess Weatherbed,2023/03/25
67,https://www.theverge.com/23613289/best-games-movie-tv-entertainment-2023,The best entertainment of 2023,Andrew Webster,2023/03/17
68,https://www.theverge.com/2023/3/26/23655456/chatgpt-bard-bing-ai-race-text-boxes,ChatGPT started a new kind of AI race — and made text boxes cool again,David Pierce,2023/03/26
69,https://www.theverge.com/2023/3/26/23657627/microsoft-xbox-game-pass-trial-offer-stopped,Microsoft says it has stopped its Xbox Game Pass $1 trial offer,Tom Warren,2023/03/27
